"record_id","month","day","year","plot","species","sex","wgt"
11228,3,8,1986,12,"DS","M",119
11229,3,8,1986,23,"DO","F",56
11230,3,8,1986,21,"RM","F",11
11231,3,8,1986,16,"RM","M",9
11232,3,8,1986,12,"NL","F",170
11233,3,8,1986,6,"DM","F",52
11234,3,8,1986,24,"DM","M",48
11235,3,8,1986,21,"RM","F",10
11236,3,8,1986,6,"DM","M",46
11237,3,8,1986,16,"RM","F",10
11238,3,8,1986,17,"DM","F",38
11239,3,8,1986,12,"OT","M",26
11240,3,8,1986,6,"DS","M",130
11241,3,8,1986,24,"DO","F",52
11242,3,8,1986,20,"DM","F",48
11243,3,8,1986,12,"DO",,
11244,3,8,1986,14,"OL","M",37
11245,3,8,1986,6,"OL","F",31
11246,3,8,1986,21,"PE","F",25
11247,3,8,1986,14,"DM","F",39
11248,3,8,1986,20,"DM","M",47
11249,3,8,1986,12,"DO","M",
11250,3,8,1986,17,"OL","M",34
11251,3,8,1986,12,"DM","M",46
11252,3,8,1986,24,"DM","F",41
11253,3,8,1986,22,"DM","F",43
11254,3,8,1986,17,"DO","M",53
11255,3,8,1986,12,"DO","M",49
11256,3,8,1986,22,"DM","M",45
11257,3,8,1986,16,"OL",,
11258,3,8,1986,22,"DM","M",49
11259,3,8,1986,18,"DM","F",39
11260,3,8,1986,12,"OT","F",23
11261,3,8,1986,12,"DO","F",51
11262,3,8,1986,14,"OL","F",27
11263,3,8,1986,6,"DO","M",54
11264,3,8,1986,12,"DM","M",51
11265,3,8,1986,14,"NL","F",188
11266,3,8,1986,14,"SS",,
11267,3,8,1986,14,"OT","M",23
11268,3,8,1986,12,"PE","M",19
11269,3,8,1986,12,"DM","M",52
11270,3,8,1986,12,"DM","F",37
11271,3,8,1986,24,"DM","M",45
11272,3,8,1986,23,"RM","M",9
11273,3,8,1986,22,"DM","M",53
11274,3,8,1986,12,"DM","F",48
11275,3,8,1986,14,"DM","F",37
11276,3,8,1986,23,"DO","M",59
11277,3,8,1986,14,"DM","M",49
11278,3,8,1986,6,"DO","M",55
11279,3,8,1986,6,"PE","M",20
11280,3,8,1986,21,"PH","M",39
11281,3,8,1986,17,"NL",,185
11282,3,8,1986,22,"DS","M",12
11283,3,8,1986,19,"RM","F",10
11284,3,9,1986,2,"DM","M",44
11285,3,9,1986,3,"PP",,
11286,3,9,1986,11,"DO",,44
11287,3,9,1986,11,"DS","M",126
11288,3,9,1986,9,"DM","M",42
11289,3,9,1986,4,"DO","M",52
11290,3,9,1986,8,"DS","M",
11291,3,9,1986,2,"DM","F",40
11292,3,9,1986,9,"DM","M",45
11293,3,9,1986,11,"PP","M",15
11294,3,9,1986,9,"DS","F",131
11295,3,9,1986,8,"DO","M",54
11296,3,9,1986,9,"DM","M",48
11297,3,9,1986,13,"DM","M",47
11298,3,9,1986,4,"DM","M",46
11299,3,9,1986,3,"RM","F",7
11300,3,9,1986,4,"DS","F",116
11301,3,9,1986,13,"AB",,
11302,3,9,1986,3,"NL","F",173
11303,3,9,1986,1,"DS","M",156
11304,3,9,1986,2,"DM","M",48
11305,3,9,1986,2,"DM","F",49
11306,3,9,1986,5,"DM","F",44
11307,3,9,1986,11,"DM","M",48
11308,3,9,1986,2,"DO","F",68
11309,3,9,1986,3,"RM","F",11
11310,3,9,1986,10,"RM","M",9
11311,3,9,1986,4,"OL","M",38
11312,3,9,1986,1,"DS",,
11313,3,9,1986,4,"DS","M",130
11314,3,9,1986,11,"RM","M",10
11315,3,9,1986,2,"PE","M",19
11316,3,9,1986,2,"DM","F",38
11317,3,9,1986,5,"DO","F",56
11318,3,9,1986,11,"PE","M",19
11319,3,9,1986,13,"DM","M",46
11320,3,9,1986,4,"DS","F",124
11321,3,9,1986,5,"DM","F",41
11322,3,9,1986,8,"DS","F",131
11323,3,9,1986,11,"DM","F",42
11324,3,9,1986,8,"DS","M",147
11325,3,9,1986,10,"RM","F",10
11326,3,9,1986,9,"DM","F",43
11327,3,9,1986,2,"DM","M",50
11328,3,9,1986,1,"DM","M",51
11329,3,9,1986,2,"NL","M",240
11330,3,9,1986,1,"DM","M",45
11331,3,9,1986,10,"RM","M",10
11332,3,9,1986,1,"DS","F",134
11333,3,9,1986,13,"SS",,
11334,3,9,1986,4,"DM","M",43
11335,3,9,1986,9,"DM","M",47
11336,3,9,1986,7,"PE","F",24
11337,3,9,1986,3,"PE","F",22
11338,3,9,1986,11,"DM","F",40
11339,3,9,1986,7,"RM","F",12
11340,3,9,1986,15,,,
11341,4,12,1986,12,"DO","M",49
11342,4,12,1986,6,"AB",,
11343,4,12,1986,14,"DM","M",52
11344,4,12,1986,17,"DM","F",43
11345,4,12,1986,12,"DO","F",55
11346,4,12,1986,24,"PM","M",18
11347,4,12,1986,14,"DM","F",39
11348,4,12,1986,12,"DS","M",120
11349,4,12,1986,22,"DM","M",45
11350,4,12,1986,14,"DM","F",48
11351,4,12,1986,23,"RM","M",10
11352,4,12,1986,16,"RM","M",10
11353,4,12,1986,24,"DM","F",40
11354,4,12,1986,17,"DO","F",57
11355,4,12,1986,12,"DM","M",52
11356,4,12,1986,14,"NL","F",180
11357,4,12,1986,14,"DM","M",52
11358,4,12,1986,22,"PE","M",21
11359,4,12,1986,16,"SS",,
11360,4,12,1986,22,"DM","M",30
11361,4,12,1986,20,"DM","M",42
11362,4,12,1986,14,"OL","M",38
11363,4,12,1986,22,"DM","M",47
11364,4,12,1986,12,"DM","M",48
11365,4,12,1986,6,"DO","M",53
11366,4,12,1986,14,"OL","F",27
11367,4,12,1986,17,"NL","F",192
11368,4,12,1986,12,"DM","F",43
11369,4,12,1986,17,"NL","M",99
11370,4,12,1986,18,"DM","M",54
11371,4,12,1986,12,"DM","F",46
11372,4,12,1986,12,"DM","M",42
11373,4,12,1986,22,"PE","F",27
11374,4,12,1986,22,"DS","M",125
11375,4,12,1986,19,"PP","M",17
11376,4,12,1986,10,,,
11377,4,12,1986,21,,,
11378,4,13,1986,5,"DM","M",53
11379,4,13,1986,9,"DM","M",47
11380,4,13,1986,11,"DS","M",120
11381,4,13,1986,9,"DS","F",130
11382,4,13,1986,8,"DO","F",57
11383,4,13,1986,5,"DM","M",41
11384,4,13,1986,8,"DS","M",150
11385,4,13,1986,1,"PM","F",26
11386,4,13,1986,5,"DO","M",58
11387,4,13,1986,2,"DM","M",42
11388,4,13,1986,2,"DM","F",42
11389,4,13,1986,15,"AH",,
11390,4,13,1986,7,"RM",,
11391,4,13,1986,2,"DM","M",26
11392,4,13,1986,5,"DM","F",42
11393,4,13,1986,9,"OL","M",39
11394,4,13,1986,4,"DS","F",74
11395,4,13,1986,3,"NL","F",176
11396,4,13,1986,4,"OL","F",34
11397,4,13,1986,4,"DO","M",50
11398,4,13,1986,3,"NL",,102
11399,4,13,1986,1,"DS","M",157
11400,4,13,1986,4,"DS","F",125
11401,4,13,1986,5,"DM","M",52
11402,4,13,1986,11,"DM","M",46
11403,4,13,1986,13,"DM","M",48
11404,4,13,1986,1,"DM","F",22
11405,4,13,1986,1,"DM","M",42
11406,4,13,1986,4,"OL","M",41
11407,4,13,1986,5,"DO","F",54
11408,4,13,1986,2,"DM","F",49
11409,4,13,1986,4,"DM","M",49
11410,4,13,1986,1,"DS","F",135
11411,4,13,1986,11,"DM","M",49
11412,4,13,1986,11,"DX",,
11413,4,13,1986,7,"RM","F",
11414,4,13,1986,1,"DS","F",125
11415,4,13,1986,5,"DM","F",43
11416,4,13,1986,9,"DM","M",45
11417,4,13,1986,1,"DS","M",129
11418,4,13,1986,5,"DO","M",24
11419,4,13,1986,8,"DS","F",124
11420,4,13,1986,13,"DM","F",52
11421,4,13,1986,2,"DM","M",44
11422,4,13,1986,1,"DM","M",52
11423,4,13,1986,3,"PP","F",19
11424,4,13,1986,3,"OT","M",15
11425,4,13,1986,1,"DO","M",51
11426,4,13,1986,4,"DS","F",125
11427,4,13,1986,5,"DO","F",26
11428,4,13,1986,9,"DM","M",45
11429,4,13,1986,9,"DM","F",49
11430,4,13,1986,4,"DM","M",42
11431,4,13,1986,11,"DM","F",40
11432,4,13,1986,9,"DM","F",26
11433,4,13,1986,3,"PP","M",17
11434,4,13,1986,11,"DM","F",45
11435,4,13,1986,13,"DM","M",46
11436,5,10,1986,12,"NL","F",91
11437,5,10,1986,24,"DM","M",45
11438,5,10,1986,24,"DM","M",44
11439,5,10,1986,24,"DM","F",39
11440,5,10,1986,17,"PE","F",29
11441,5,10,1986,12,"NL","F",98
11442,5,10,1986,24,"PE","F",26
11443,5,10,1986,20,"DM","F",44
11444,5,10,1986,14,"DM","F",39
11445,5,10,1986,12,"DS","M",118
11446,5,10,1986,21,"RM","M",10
11447,5,10,1986,12,"NL","F",205
11448,5,10,1986,18,"PM","M",18
11449,5,10,1986,6,"AB",,
11450,5,10,1986,12,"DO","M",48
11451,5,10,1986,14,"DM","F",39
11452,5,10,1986,12,"OT","F",33
11453,5,10,1986,21,"PM","F",21
11454,5,10,1986,18,"DM","F",26
11455,5,10,1986,18,"DM","M",52
11456,5,10,1986,17,"DM","M",50
11457,5,10,1986,17,"DM","M",37
11458,5,10,1986,18,"DM","F",50
11459,5,10,1986,12,"RM","M",11
11460,5,10,1986,6,"DO","M",46
11461,5,10,1986,18,"RM","F",13
11462,5,10,1986,12,"OT","M",26
11463,5,10,1986,22,"PP","F",16
11464,5,10,1986,12,"DM","M",50
11465,5,10,1986,20,"PM","F",22
11466,5,10,1986,21,"RM","F",13
11467,5,10,1986,14,"DM","F",37
11468,5,10,1986,14,"OL","F",29
11469,5,10,1986,17,"DO","M",52
11470,5,10,1986,6,"DO","M",52
11471,5,10,1986,14,"DM","M",50
11472,5,10,1986,6,"OL","F",33
11473,5,10,1986,14,"NL","F",180
11474,5,10,1986,6,"DO","M",53
11475,5,10,1986,23,"PE",,
11476,5,10,1986,20,"NL","F",
11477,5,10,1986,12,"DM","F",42
11478,5,10,1986,22,"DM","F",45
11479,5,10,1986,20,"DM","M",46
11480,5,10,1986,24,"DM","M",42
11481,5,10,1986,22,"PE","M",21
11482,5,10,1986,16,"RM","F",
11483,5,10,1986,6,"PE","M",23
11484,5,10,1986,12,"DM","F",43
11485,5,10,1986,23,"PE","M",23
11486,5,10,1986,19,"PM","F",15
11487,5,10,1986,14,"AB",,
11488,5,10,1986,22,"DS","F",114
11489,5,11,1986,2,"DM","M",44
11490,5,11,1986,3,"RM","M",11
11491,5,11,1986,11,"DM","F",50
11492,5,11,1986,11,"DS","M",115
11493,5,11,1986,8,"DS","M",144
11494,5,11,1986,13,"NL","M",123
11495,5,11,1986,7,"RM","F",
11496,5,11,1986,2,"NL","F",163
11497,5,11,1986,5,"DO","M",59
11498,5,11,1986,2,"NL","F",82
11499,5,11,1986,9,"DS","F",134
11500,5,11,1986,3,"NL","M",138
11501,5,11,1986,1,"DM","F",43
11502,5,11,1986,4,"DM","M",
11503,5,11,1986,5,"DM","F",45
11504,5,11,1986,9,"DM","M",46
11505,5,11,1986,8,"DS","F",128
11506,5,11,1986,4,"DO","M",50
11507,5,11,1986,15,"AH",,
11508,5,11,1986,4,"DS","F",121
11509,5,11,1986,13,"DM","M",46
11510,5,11,1986,1,"DM","M",52
11511,5,11,1986,1,"DM","M",43
11512,5,11,1986,3,"PP","F",19
11513,5,11,1986,11,"PM","M",20
11514,5,11,1986,2,"DM","M",37
11515,5,11,1986,2,"DM","F",43
11516,5,11,1986,1,"DS","F",84
11517,5,11,1986,1,"DS","M",129
11518,5,11,1986,11,"PE","M",21
11519,5,11,1986,8,"DS","F",103
11520,5,11,1986,5,"DM","F",43
11521,5,11,1986,3,"OT","M",21
11522,5,11,1986,1,"DS","M",152
11523,5,11,1986,5,"DO","M",38
11524,5,11,1986,8,"DM","M",
11525,5,11,1986,4,"DM","M",44
11526,5,11,1986,13,"AH",,
11527,5,11,1986,4,"DS","F",123
11528,5,11,1986,5,"DO","F",39
11529,5,11,1986,9,"NL","M",198
